datasrno,workex,gmat
1,21,720
2,107,640
3,57,740
4,99,690
5,208,710
6,136,660
7,70,660
8,103,710
9,79,700
10,22,730
11,69,700
12,41,740
13,72,650
14,69,720
15,20,700
16,21,760
17,19,710
18,86,720
19,231,690
20,20,770
21,175,660
22,21,710
23,44,720
24,23,650
25,20,710
26,70,720
27,46,710
28,33,650
29,130,690
30,57,690
31,57,750
32,45,710
33,55,730
34,42,770
35,34,690
36,55,710
37,44,710
38,79,710
39,45,740
40,38,720
41,44,710
42,83,720
43,118,650
44,45,710
45,89,690
46,77,700
47,91,730
48,61,690
49,47,670
50,69,710
51,59,720
52,32,710
53,74,740
54,279,750
55,33,710
56,33,730
57,34,730
58,110,710
59,44,710
60,44,690
61,46,720
62,58,690
63,45,710
64,34,720
65,54,770
66,45,720
67,33,740
68,82,710
69,72,740
70,77,710
71,43,740
72,54,740
73,92,730
74,90,720
75,66,760
76,38,720
77,25,740
78,57,740
79,31,710
80,58,690
81,55,710
82,68,710
83,79,730
84,71,700
85,68,710
86,32,750
87,32,710
88,45,710
89,69,720
90,65,680
91,57,710
92,45,710
93,92,710
94,57,740
95,69,710
96,32,710
97,70,700
98,59,690
99,44,770
100,44,770
101,46,720
102,33,730
103,46,710
104,82,720
105,53,690
106,33,740
107,34,690
108,37,690
109,55,750
110,52,720
111,68,670
112,51,690
113,69,710
114,47,690
115,56,750
116,45,710
117,56,680
118,48,690
119,34,730
120,55,750
121,43,700
122,69,720
123,31,680
124,46,690
125,58,700
126,47,740
127,56,710
128,43,730
129,58,720
130,27,720
131,46,740
132,58,680
133,34,670
134,34,730
135,45,680
136,68,710
137,34,740
138,46,760
139,45,710
140,56,710
141,33,710
142,33,730
143,44,680
144,33,690
145,69,720
146,82,730
147,64,750
148,126,770
149,80,750
150,80,720
151,45,710
152,45,700
153,68,720
154,58,720
155,45,690
156,130,710
157,80,730
158,130,710
159,34,740
160,80,690
161,48,630
162,45,730
163,40,720
164,58,710
165,35,690
166,40,690
167,79,730
168,34,710
169,56,720
170,68,710
171,32,740
172,57,710
173,53,650
174,57,760
175,45,680
176,46,700
177,77,710
178,44,690
179,68,720
180,45,740
181,54,710
182,58,710
183,59,730
184,38,660
185,94,710
186,46,710
187,96,710
188,44,740
189,50,690
190,91,610
191,117,700
192,58,690
193,32,760
194,57,730
195,57,700
196,57,720
197,32,710
198,33,750
199,41,690
200,70,750
201,45,660
202,68,740
203,90,710
204,82,730
205,33,750
206,46,710
207,45,710
208,45,710
209,79,680
210,109,720
211,53,710
212,44,700
213,33,740
214,70,690
215,44,710
216,51,760
217,85,720
218,57,710
219,66,710
220,44,700
221,50,690
222,30,750
223,33,690
224,89,710
225,55,710
226,128,710
227,45,710
228,33,710
229,35,720
230,33,710
231,58,660
232,49,650
233,57,710
234,45,700
235,63,730
236,81,700
237,56,710
238,45,690
239,86,760
240,45,740
241,69,750
242,43,710
243,45,730
244,70,710
245,33,740
246,43,710
247,34,720
248,47,690
249,57,690
250,70,700
251,93,700
252,92,710
253,32,710
254,80,720
255,33,760
256,32,710
257,55,690
258,46,700
259,66,710
260,65,710
261,42,720
262,71,720
263,41,760
264,30,730
265,45,730
266,91,720
267,46,740
268,44,740
269,74,710
270,45,710
271,112,720
272,46,700
273,69,710
274,32,770
275,69,760
276,44,740
277,69,700
278,45,650
279,81,740
280,82,710
281,44,690
282,34,700
283,46,730
284,34,720
285,43,720
286,69,710
287,34,720
288,32,760
289,45,740
290,50,710
291,57,720
292,50,680
293,58,720
294,92,690
295,131,710
296,45,650
297,64,700
298,48,700
299,32,680
300,32,720
301,100,680
302,56,720
303,56,710
304,45,710
305,68,700
306,28,680
307,57,700
308,44,680
309,58,650
310,46,690
311,142,710
312,47,660
313,64,670
314,125,710
315,55,690
316,32,700
317,51,720
318,94,730
319,53,720
320,57,720
321,53,710
322,56,710
323,88,690
324,62,710
325,69,710
326,91,760
327,93,700
328,106,760
329,68,760
330,56,740
331,57,710
332,56,730
333,70,700
334,70,730
335,40,710
336,46,700
337,45,710
338,52,620
339,80,660
340,69,710
341,56,730
342,82,680
343,58,740
344,68,710
345,39,710
346,92,710
347,34,750
348,42,710
349,69,710
350,33,740
351,268,730
352,70,690
353,54,770
354,44,740
355,42,760
356,44,730
357,57,720
358,81,740
359,103,740
360,69,720
361,34,670
362,33,730
363,69,690
364,57,680
365,66,680
366,34,710
367,69,730
368,45,680
369,45,690
370,42,710
371,47,710
372,38,710
373,82,750
374,89,760
375,45,720
376,34,750
377,53,740
378,69,680
379,48,710
380,90,660
381,22,720
382,43,720
383,41,720
384,82,690
385,56,700
386,80,730
387,37,720
388,33,740
389,81,750
390,131,730
391,43,680
392,69,680
393,72,600
394,34,710
395,58,750
396,69,720
397,81,700
398,116,720
399,77,700
400,45,680
401,57,700
402,56,730
403,57,710
404,109,620
405,44,750
406,37,720
407,45,740
408,46,700
409,68,720
410,78,720
411,63,730
412,45,740
413,67,690
414,33,760
415,69,730
416,45,720
417,176,710
418,82,770
419,55,720
420,32,710
421,45,720
422,57,720
423,69,770
424,32,690
425,93,710
426,131,690
427,49,710
428,39,690
429,37,680
430,111,710
431,66,750
432,45,730
433,44,730
434,35,720
435,67,710
436,33,710
437,57,710
438,52,730
439,49,760
440,29,700
441,31,720
442,71,720
443,34,690
444,46,700
445,46,700
446,122,720
447,34,710
448,29,650
449,70,680
450,43,700
451,116,710
452,69,690
453,43,720
454,44,750
455,57,690
456,70,730
457,55,660
458,44,760
459,35,720
460,58,740
461,40,760
462,33,660
463,79,700
464,46,720
465,32,770
466,81,740
467,29,710
468,87,680
469,69,710
470,24,700
471,68,710
472,49,690
473,58,730
474,69,690
475,38,720
476,45,680
477,43,680
478,57,720
479,69,620
480,34,650
481,33,730
482,38,730
483,73,730
484,34,750
485,29,740
486,57,770
487,40,760
488,93,700
489,29,740
490,98,760
491,33,690
492,45,610
493,36,660
494,46,730
495,40,670
496,54,640
497,45,670
498,54,710
499,57,660
500,52,700
501,141,740
502,81,710
503,44,690
504,45,750
505,57,680
506,54,690
507,59,690
508,62,710
509,33,730
510,58,740
511,46,650
512,28,680
513,68,700
514,143,730
515,39,650
516,44,730
517,91,680
518,84,710
519,69,730
520,57,710
521,33,730
522,33,710
523,92,710
524,44,710
525,45,710
526,25,680
527,33,710
528,45,720
529,86,690
530,46,720
531,105,700
532,33,700
533,41,740
534,45,740
535,44,720
536,34,710
537,37,660
538,124,700
539,32,760
540,58,750
541,43,680
542,44,760
543,93,740
544,34,770
545,75,750
546,92,700
547,42,680
548,43,720
549,70,730
550,60,760
551,36,680
552,36,760
553,68,680
554,35,680
555,44,710
556,70,670
557,34,650
558,54,720
559,70,720
560,34,730
561,36,710
562,69,740
563,45,730
564,132,720
565,81,710
566,78,710
567,34,730
568,43,760
569,58,720
570,82,710
571,34,690
572,34,690
573,62,720
574,50,720
575,45,750
576,70,720
577,59,710
578,33,710
579,99,650
580,57,730
581,30,730
582,46,680
583,48,680
584,35,760
585,46,690
586,57,720
587,43,700
588,58,690
589,58,710
590,34,710
591,44,740
592,45,710
593,46,680
594,56,720
595,33,770
596,92,730
597,31,700
598,33,700
599,69,730
600,53,670
601,37,660
602,119,690
603,30,690
604,57,720
605,33,690
606,55,670
607,32,680
608,43,740
609,78,680
610,70,680
611,53,710
612,69,700
613,56,690
614,45,730
615,9,720
616,38,670
617,82,720
618,68,730
619,44,700
620,74,730
621,33,700
622,72,680
623,57,730
624,44,690
625,29,730
626,44,730
627,79,680
628,30,700
629,34,700
630,46,740
631,45,720
632,81,710
633,45,730
634,83,680
635,44,720
636,28,710
637,33,770
638,58,680
639,61,690
640,72,700
641,58,700
642,45,750
643,66,740
644,44,690
645,45,730
646,81,770
647,33,720
648,45,740
649,31,710
650,82,710
651,30,760
652,34,720
653,81,740
654,47,600
655,93,730
656,22,780
657,40,710
658,58,710
659,57,670
660,24,720
661,39,630
662,40,690
663,46,700
664,57,700
665,44,730
666,50,710
667,34,700
668,92,710
669,43,730
670,106,740
671,69,690
672,43,660
673,69,710
674,57,690
675,43,740
676,101,710
677,33,710
678,33,750
679,130,640
680,58,710
681,33,710
682,56,750
683,30,650
684,44,680
685,58,740
686,57,750
687,44,710
688,81,700
689,94,740
690,58,740
691,56,710
692,57,710
693,45,690
694,79,720
695,33,730
696,57,700
697,58,710
698,43,750
699,42,710
700,68,740
701,34,780
702,22,690
703,27,710
704,41,710
705,42,700
706,79,720
707,57,680
708,85,760
709,33,740
710,59,750
711,57,730
712,40,720
713,81,730
714,58,750
715,82,720
716,52,720
717,56,680
718,34,710
719,71,720
720,41,690
721,53,720
722,32,680
723,45,690
724,69,720
725,44,630
726,45,690
727,118,660
728,45,710
729,46,710
730,69,730
731,81,710
732,44,690
733,34,710
734,52,710
735,55,710
736,69,650
737,83,760
738,39,740
739,69,720
740,31,700
741,33,690
742,56,710
743,32,760
744,94,740
745,105,710
746,95,710
747,43,720
748,89,710
749,68,730
750,46,750
751,69,740
752,93,710
753,60,680
754,69,740
755,68,740
756,46,730
757,23,770
758,50,720
759,33,680
760,39,680
761,34,740
762,69,680
763,34,710
764,31,710
765,29,710
766,46,750
767,44,620
768,38,680
769,88,620
770,132,670
771,28,610
772,10,610
773,52,620
